riego;geno;block;bloque;spad_29;spad_83;rwc_84;op_84;leafdw;stemdw;rootdw;tubdw;biomdw;hi;ttrans;wue;twue;lfa
sequia;G01;2;II;56.3;41.1;61.48;-2.43;13.28;14.87;3.83;19.8;51.78;0.45;4.5;11.51;4.4;2900
sequia;G02;4;IV;52.7;47.9;63.16;-3.03;9.42;8.63;2.1;17.67;37.82;0.43;3.54;10.69;4.99;2619
irrigado;G01;3;III;49.2;41.6;67.73;-2.5;18.22;24.19;3.16;38.02;83.59;0.45;8.39;9.97;4.53;7579
sequia;G02;1;I;55.5;44.2;64.94;-2.4;8.84;6.58;2;13.51;30.93;0.44;2.9;10.65;4.65;2450
irrigado;G03;2;II;58.2;32.6;74.46;-2.27;14.55;12.63;1.83;51.15;80.16;0.64;7.37;10.88;6.94;5413
irrigado;G04;5;V;43.5;37.8;74.04;-2.37;19.77;17.46;2.83;62.54;102.6;0.61;10.05;10.21;6.23;9791
irrigado;G01;1;I;57.4;42.5;72.74;-1.77;15.01;15.32;2.28;22.45;55.06;0.41;6.39;8.62;3.51;7038
irrigado;G05;4;IV;56.1;35.9;72.81;-2.33;19.88;14.55;3.65;51.44;89.52;0.57;9.26;9.67;5.55;9794
sequia;G06;2;II;61;57.5;59.79;-3.23;19.89;21.19;4.04;2.37;47.49;0.05;4.36;10.88;0.54;3199
sequia;G05;1;I;60.3;41.8;50.77;-2.87;12.28;11.14;4.17;28.74;56.33;0.51;5.16;10.92;5.57;1658
irrigado;G01;2;II;58.9;43.1;65.71;-1.83;18.44;18.13;3.01;36.06;75.64;0.48;8.32;9.09;4.33;7983
sequia;G07;2;II;65.5;45.6;69.93;-2.73;4.24;3.7;1.52;19.79;29.25;0.68;2.53;11.58;7.84;1098
irrigado;G08;2;II;61.3;44;68.77;-2.03;18.63;12.48;6.45;21.96;59.52;0.37;6.75;8.82;3.25;7310
irrigado;G06;3;III;64.3;47;64.75;-1.93;23.37;29.49;6.63;15.66;75.15;0.21;7.52;9.99;2.08;6577
irrigado;G09;3;III;57.1;35.8;68.54;-2.5;22.04;16.96;2.82;57.22;99.04;0.58;11.01;9;5.2;10765
irrigado;G10;2;II;56;39.8;64.62;-2.03;10.2;8.2;1.02;26.29;45.71;0.58;5.41;8.45;4.86;5171
sequia;G11;1;I;58;28.9;57.91;-2.77;12.85;7.9;2.69;41.95;65.39;0.64;5;13.07;8.39;1556
sequia;G12;3;III;52.9;40.9;60.91;-3.1;11.78;9.19;5.48;19.21;45.66;0.42;4.47;10.22;4.3;2425
irrigado;G07;1;I;56.4;32.9;79.82;-2;2.03;2.48;0.49;12.79;17.79;0.72;2.38;7.48;5.38;1065
irrigado;G04;2;II;48.8;33.3;72.21;-2.27;20.38;20.75;3.44;46.89;91.46;0.51;9.34;9.79;5.02;10812
irrigado;G13;2;II;60.7;41.1;65.65;-2.3;23.8;18.97;5.01;22.03;69.81;0.32;9.25;7.55;2.38;9744
irrigado;G14;3;III;64.9;27.8;59.66;-2.2;10.07;14.57;4.56;18.21;47.41;0.38;7.93;5.98;2.3;7895
irrigado;G04;4;IV;51.1;35.5;71.44;-2.07;22.19;18.84;3.24;57.32;101.59;0.56;10.19;9.97;5.63;10306
sequia;G04;5;V;46.9;41.4;54.05;-2.8;11.25;8.79;1.85;22.34;44.23;0.51;3.52;12.58;6.35;3219
sequia;G08;5;V;64.2;52.8;48.54;-2.93;11.25;8.17;5.47;18.9;43.79;0.43;3.65;12;5.18;2698
sequia;G04;3;III;45.8;38.5;49.5;-3.33;13.52;12.53;3.68;26.94;56.67;0.48;4.88;11.61;5.52;3264
sequia;G01;4;IV;58.8;49;48.41;-2.73;14.06;16.26;3.11;27.56;60.99;0.45;5.97;10.21;4.62;2995
irrigado;G10;1;I;53.3;37.5;70.02;-2.53;12.4;11.19;1.55;19.44;44.58;0.44;5.68;7.85;3.42;6164
irrigado;G08;5;V;62.8;45.3;62.03;-2.57;17.83;11.18;6.27;28.52;63.8;0.45;7.07;9.02;4.03;7470
irrigado;G02;5;V;51.4;41.1;69.75;-2.37;16;12.14;2.37;30.23;60.74;0.5;6.33;9.6;4.78;5234
irrigado;G07;3;III;59.5;36.1;74.15;-2.23;4;4.78;1.09;42.67;52.54;0.81;5.84;9;7.31;1607
irrigado;G08;1;I;56.4;48.5;72.77;-1.73;18.58;12.52;6.4;25.48;62.98;0.4;7.51;8.38;3.39;6998
irrigado;G14;5;V;61.8;36.3;65.13;-2.37;27.58;23.96;7.23;48.56;107.33;0.45;11.5;9.33;4.22;8979
irrigado;G03;1;I;59.6;36;68.81;-2.3;13.69;11.18;1.45;29.93;56.25;0.53;5.87;9.59;5.1;5546
sequia;G13;3;III;55.6;44.9;66.65;-2.4;11.39;7.79;5.05;12.25;36.48;0.34;3.37;10.82;3.63;3120
sequia;G01;5;V;58.6;48.5;62.83;-2.93;11.18;11.97;2.98;19.44;45.57;0.43;4.09;11.15;4.76;3000
sequia;G03;1;I;58.7;40.2;56.19;-3.23;10.66;9.03;3.5;27;50.19;0.54;3.85;13.04;7.02;2274
irrigado;G15;3;III;56;41.3;68.39;-2.5;15.48;11.17;2.88;78.62;108.15;0.73;10.37;10.43;7.58;6303
irrigado;G03;4;IV;57.3;35.3;69.38;-2.07;16.41;12.2;2.3;67.71;98.62;0.69;8.13;12.13;8.33;5306
irrigado;G09;4;IV;52.1;38.9;74.49;-2.7;25.08;18.17;3.29;86.16;132.7;0.65;12.3;10.79;7.01;8534
irrigado;G11;2;II;63.9;43.8;79.81;-1.4;12.48;4.9;1.96;38.76;58.1;0.67;4.89;11.87;7.92;3966
sequia;G03;5;V;48.9;43.8;62.78;-3.13;10.28;8.73;1.6;27.72;48.33;0.57;3.79;12.76;7.32;2148
sequia;G11;3;III;64.2;39.3;51.21;-2.93;10.56;5.56;2.66;40.64;59.42;0.68;4.52;13.13;8.98;2301
irrigado;G06;5;V;54.9;42.4;70.46;-2;22.91;23.77;3.97;13.72;64.37;0.21;7.23;8.91;1.9;9040
sequia;G05;5;V;56.5;40.2;58.91;-2.97;13.25;11.52;3.88;36.86;65.51;0.56;5.88;11.14;6.27;1772
sequia;G08;4;IV;64.2;44.5;47.79;-2.57;12.12;8.44;6.12;17.49;44.17;0.4;4.44;9.96;3.94;2021
irrigado;G11;4;IV;62.1;38.4;80.02;-2.57;18.18;7.53;3.35;52.67;81.73;0.64;9.25;8.84;5.7;8006
sequia;G11;2;II;62.7;44.6;63.36;-2.53;7.26;3.11;1.85;24.4;36.62;0.67;2.98;12.27;8.18;1942
irrigado;G10;3;III;55.2;42.3;60.74;-2.13;16.2;14.77;2.42;48.73;82.12;0.59;8.01;10.25;6.08;6029
sequia;G06;4;IV;53.3;54.2;62.77;-2.27;16.19;17.45;4.64;5.68;43.96;0.13;4.57;9.61;1.24;3550
sequia;G09;1;I;43.9;47.3;57.47;-2.7;14.34;13.36;4.25;21;52.95;0.4;4.68;11.3;4.48;3238
irrigado;G11;1;I;60.8;38.8;70.73;-2.43;21.08;7.27;2.11;41.47;71.93;0.58;5.93;12.13;6.99;6210
sequia;G11;4;IV;58.6;45.3;56.9;-2.87;10.58;5.72;2.29;45.43;64.02;0.71;4.91;13.05;9.26;2238
irrigado;G15;4;IV;54.4;40.2;63.66;-2.97;12.69;11.76;1.83;45.41;71.69;0.63;6.73;10.65;6.74;6270
irrigado;G13;4;IV;64.4;43.5;67.98;-2.17;22.93;19.83;6.44;27.44;76.64;0.36;9.36;8.19;2.93;9430
sequia;G14;5;V;56.9;46.1;49.27;-2.63;16.13;12.94;5.77;30.27;65.11;0.46;4.97;13.1;6.09;3665
irrigado;G02;4;IV;52.6;37.6;71.55;-2;17.71;14.01;2.48;25.48;59.68;0.43;7.04;8.48;3.62;7392
irrigado;G09;2;II;51.1;40.3;58.57;-2.47;24.46;19.2;3.54;68.89;116.09;0.59;11.21;10.35;6.14;12296
irrigado;G02;3;III;51.6;41.4;64.26;-2;15.03;12.12;1.81;27.18;56.14;0.48;6.36;8.83;4.28;5163
sequia;G08;3;III;64.5;58.6;53;-2.8;14.07;10.1;8.5;14.55;47.22;0.31;4.62;10.22;3.15;2551
irrigado;G06;2;II;63.9;46.3;71.26;-2.33;21.9;24.35;4.02;9.58;59.85;0.16;6.33;9.46;1.51;6939
sequia;G13;4;IV;59.5;50.8;56.6;-3.37;14.4;11.52;4.98;15.25;46.15;0.33;4.69;9.85;3.26;3062
sequia;G14;3;III;57.1;43.8;59.88;-3.07;15.91;13.37;7.24;19.05;55.57;0.34;4.7;11.82;4.05;3450
sequia;G04;2;II;45.2;42.4;60.49;-3.07;14.1;15.02;0.52;27.52;57.16;0.48;5.49;10.41;5.01;2511
irrigado;G11;3;III;63.9;40.2;65.92;-2.4;18.4;10.32;2.6;64.12;95.44;0.67;7.86;12.14;8.16;8867
irrigado;G07;2;II;57.7;48.2;75.73;-2.3;2.57;1.71;0.38;11.81;16.47;0.72;1.97;8.38;6.01;1069
irrigado;G08;4;IV;60.7;48.1;62.46;-2.63;20.29;14.28;7.33;26.72;68.62;0.39;7.11;9.65;3.76;7644
sequia;G05;4;IV;53;41.7;54.78;-3.1;9.75;80.65;2.6;21.54;114.54;0.19;4.37;26.23;4.93;1821
irrigado;G04;1;I;43.8;34.5;78.23;-2;14.7;12.8;1.59;18.95;48.04;0.39;5.68;8.45;3.34;8569
irrigado;G11;5;V;62;40.7;73.12;-1.83;19.16;7.99;2.75;59.92;89.82;0.67;7.66;11.72;7.82;7225
irrigado;G12;1;I;50;41;63.83;-2.1;19.18;19.6;4.62;40.62;84.02;0.48;8.82;9.52;4.6;7194
sequia;G14;4;IV;59.3;47.9;55.56;-3.13;18.43;13.97;5.92;22.97;61.29;0.37;5.79;10.59;3.97;3318
sequia;G07;3;III;54;43.7;62.52;-2.43;3.35;3.09;1.39;20.52;28.35;0.72;2.4;11.83;8.56;811
irrigado;G03;3;III;60.23;30;57.28;-2.17;11.28;8.56;1.61;35.59;57.04;0.62;5.5;10.38;6.48;5450
sequia;G01;1;I;54;46.3;59.06;-3.13;10.37;10.44;2.45;15.33;38.59;0.4;3.71;10.4;4.13;3100
sequia;G04;1;I;47.9;39.9;55.51;-3.1;13.55;13.73;2.85;25.92;56.05;0.46;5.4;10.38;4.8;3010
sequia;G03;2;II;56.5;43.3;62.17;-3;9.5;8.33;3.36;35.63;56.82;0.63;4.26;13.33;8.36;2108
irrigado;G15;2;II;54.4;44.8;70.61;-2.13;16.68;11.78;2.48;78.64;109.58;0.72;9.81;11.17;8.01;6305
sequia;G12;4;IV;51.6;45.5;52.04;-3.03;12.61;12.3;4.06;20.44;49.41;0.41;5.49;9;3.72;2480
sequia;G12;1;I;56.3;42.5;62.22;-2.5;13.16;13.91;6.17;22.21;55.45;0.4;4.89;11.35;4.55;2400
sequia;G08;1;I;60;54.4;61.81;-2.33;7.69;5.14;5.44;4.05;22.32;0.18;2.42;9.21;1.67;2320
sequia;G05;2;II;53.4;41.1;58.38;-2.53;11.26;11.65;2.19;21.59;46.69;0.46;5.07;9.22;4.26;1700
sequia;G02;2;II;53.1;42.9;63.15;-2.83;9.51;8.46;2.13;10.2;30.3;0.34;2.86;10.58;3.56;2966
sequia;G10;1;I;58.1;41.1;50.54;-2.57;9;9.84;2.04;21.36;42.24;0.51;3.57;11.85;5.99;3136
sequia;G15;1;I;53.3;44.2;51.91;-2.87;11.22;11.43;2.4;50.53;75.58;0.67;6.25;12.09;8.09;1815
